Data;Regiao;Vendedor;Cliente;ID_Produto;Produto;Quantidade;Preco_Unitario;Custo_Unitario;Faturamento;Lucro
2022-09-30;Sudeste;Carlos;Ciro;3003;Placa de Vídeo NVidia;1;4329,19;3017,7;4329,19;1311,49
2024-01-31;Centro-Oeste;Bruno;Felipe;7002;Smartphone;7;2822,87;1889,23;19760,09;6535,48
2025-06-30;Nordeste;Bruno;Antonia;1005;Headset;2;2329,6;1189,52;4659,2;2280,16
2024-11-30;Norte;Ana;Antonia;2006;WebCam 4k;3;4489,2;2803,9;13467,6;5055,9
2023-02-28;Centro-Oeste;Ana;Manoela;5004;Monitor;9;3632,8;2453,41;32695,2;10614,51
2025-06-30;Centro-Oeste;Ana;João;2006;WebCam 4k;7;1124,4;647,24;7870,8;3340,12
2025-07-31;Nordeste;Bruno;Marisa;2006;WebCam 4k;1;1607,1;991,05;1607,1;616,05
2025-07-31;Sudeste;Carlos;Antonia;2006;WebCam 4k;5;1629,4;1092,52;8147,0;2684,4
2023-01-31;Nordeste;Eduardo;João;1005;Headset;6;3363,94;2351,39;20183,64;6075,3
2023-06-30;Norte;Eduardo;Manoela;1005;Headset;9;3781,35;2570,16;34032,15;10900,71
2023-03-31;Nordeste;Eduardo;Marisa;1005;Headset;6;3248,38;1750,37;19490,28;8988,06
2022-07-31;Nordeste;Daniela;Marisa;9001;Notebook;3;1210,14;958,08;3630,42;756,18
2024-10-31;Norte;Eduardo;Marisa;2006;WebCam 4k;2;1600,57;1171,53;3201,14;858,08
2023-05-31;Norte;Daniela;João;3003;Placa de Vídeo NVidia;7;4122,77;2502,99;28859,39;11338,46
2022-07-31;Centro-Oeste;Daniela;Marisa;9001;Notebook;4;1107,19;602,04;4428,76;2020,6
2023-03-31;Nordeste;Carlos;Felipe;2006;WebCam 4k;1;1163,8;641,99;1163,8;521,81
2025-06-30;Sul;Carlos;Marisa;3003;Placa de Vídeo NVidia;1;4471,01;3194,18;4471,01;1276,83
2024-12-31;Nordeste;Eduardo;Antonia;7002;Smartphone;8;3053,77;1630,04;24430,16;11389,84
2024-12-31;Centro-Oeste;Ana;Felipe;1005;Headset;8;1516,58;843,51;12132,64;5384,56
2024-05-31;Sudeste;Fernanda;Manoela;1005;Headset;3;2421,03;1633,8;7263,09;2361,69
2024-12-31;Sudeste;Carlos;Antonia;7002;Smartphone;3;2249,6;1406,88;6748,8;2528,16
2022-08-31;Norte;Daniela;Ciro;5004;Monitor;1;949,05;650,04;949,05;299,01
2025-05-31;Nordeste;Eduardo;Marisa;3003;Placa de Vídeo NVidia;6;1122,82;772,98;6736,92;2099,04
2022-08-31;Nordeste;Carlos;Manoela;9001;Notebook;5;664,43;517,25;3322,15;735,9
2025-08-31;Sul;Daniela;Marisa;9001;Notebook;3;4868,34;2648,07;14605,02;6660,81
2025-02-28;Sudeste;Carlos;João;1005;Headset;1;4770,4;3531,95;4770,4;1238,45
2022-05-31;Norte;Eduardo;Felipe;2006;WebCam 4k;2;2912,01;2281,75;5824,02;1260,52
2024-02-29;Nordeste;Fernanda;Ciro;7002;Smartphone;9;2511,68;1960,86;22605,12;4957,38
2023-12-31;Nordeste;Fernanda;Ciro;2006;WebCam 4k;7;2353,22;1299,49;16472,54;7376,11
2022-04-30;Norte;Bruno;Manoela;5004;Monitor;4;4693,96;2816,48;18775,84;7509,92
2023-08-31;Norte;Carlos;João;9001;Notebook;8;2262,01;1735,29;18096,08;4213,76
2024-01-31;Norte;Carlos;Antonia;3003;Placa de Vídeo NVidia;4;2412,45;1260,94;9649,8;4606,04
2022-04-30;Sudeste;Fernanda;João;1005;Headset;3;1676,74;1030,82;5030,22;1937,76
2023-07-31;Nordeste;Daniela;Ciro;7002;Smartphone;8;2896,66;1917,57;23173,28;7832,72
2023-07-31;Norte;Bruno;Antonia;7002;Smartphone;8;4764,82;3653,5;38118,56;8890,56
2022-09-30;Centro-Oeste;Eduardo;Felipe;7002;Smartphone;8;3235,05;1909,98;25880,4;10600,56
2022-02-28;Centro-Oeste;Bruno;João;5004;Monitor;9;4874,52;3566,04;43870,68;11776,32
2025-04-30;Centro-Oeste;Bruno;Ciro;5004;Monitor;8;567,92;291,02;4543,36;2215,2
2022-12-31;Norte;Daniela;João;2006;WebCam 4k;2;3181,65;1733,47;6363,3;2896,36
2023-01-31;Nordeste;Daniela;Marisa;2006;WebCam 4k;3;4067,49;2926,26;12202,47;3423,69
2024-07-31;Centro-Oeste;Bruno;Marisa;9001;Notebook;3;4864,71;2896,94;14594,13;5903,31
2025-06-30;Sul;Carlos;Felipe;1005;Headset;5;2518,8;1266,93;12594,0;6259,35
2025-09-30;Norte;Daniela;Antonia;9001;Notebook;4;1937,77;1037,87;7751,08;3599,6
2023-08-31;Sul;Eduardo;João;2006;WebCam 4k;8;3538,64;2021,88;28309,12;12134,08
2023-09-30;Centro-Oeste;Fernanda;Antonia;2006;WebCam 4k;7;3014,31;2315,51;21100,17;4891,6
2022-04-30;Norte;Daniela;Manoela;9001;Notebook;1;921,6;578,31;921,6;343,29
2024-09-30;Norte;Eduardo;Antonia;9001;Notebook;6;1871,03;1054,69;11226,18;4898,04
2024-09-30;Centro-Oeste;Bruno;Antonia;3003;Placa de Vídeo NVidia;5;4063,38;2740,31;20316,9;6615,35
2024-06-30;Norte;Daniela;João;3003;Placa de Vídeo NVidia;4;3394,05;2013,67;13576,2;5521,52
2023-02-28;Sudeste;Bruno;Antonia;7002;Smartphone;5;4262,18;2863,66;21310,9;6992,6
2022-04-30;Norte;Carlos;Marisa;7002;Smartphone;6;3613,81;2122,11;21682,86;8950,2
2024-12-31;Sudeste;Ana;Felipe;3003;Placa de Vídeo NVidia;4;2117,89;1386,06;8471,56;2927,32
2025-10-31;Sudeste;Carlos;Marisa;2006;WebCam 4k;3;3597,99;2831,82;10793,97;2298,51
2025-02-28;Nordeste;Ana;Manoela;9001;Notebook;9;1284,72;999,81;11562,48;2564,19
2023-03-31;Sul;Daniela;Marisa;2006;WebCam 4k;5;962,39;489,26;4811,95;2365,65
2025-05-31;Sudeste;Carlos;Marisa;9001;Notebook;1;2015,45;1225,29;2015,45;790,16
2024-12-31;Nordeste;Fernanda;Marisa;9001;Notebook;5;4582,06;2757,06;22910,3;9125,0
2025-05-31;Sul;Carlos;Ciro;9001;Notebook;5;699,27;435,24;3496,35;1320,15
2023-01-31;Sudeste;Fernanda;Felipe;5004;Monitor;7;3480,66;2409,73;24364,62;7496,51
2022-02-28;Sul;Daniela;João;7002;Smartphone;5;3009,89;1547,71;15049,45;7310,9
2023-07-31;Nordeste;Eduardo;Felipe;3003;Placa de Vídeo NVidia;6;1150,14;786,8;6900,84;2180,04
2022-08-31;Sudeste;Daniela;Felipe;5004;Monitor;9;4825,52;2847,17;43429,68;17805,15
2023-10-31;Sul;Fernanda;Antonia;1005;Headset;3;2265,78;1367,23;6797,34;2695,65
2024-10-31;Norte;Carlos;João;2006;WebCam 4k;3;3861,21;2628,85;11583,63;3697,08
2023-08-31;Centro-Oeste;Carlos;João;2006;WebCam 4k;8;1667,19;1035,19;13337,52;5056,0
2025-10-31;Norte;Carlos;Felipe;5004;Monitor;2;3224,35;2002,08;6448,7;2444,54
2022-03-31;Norte;Fernanda;Felipe;7002;Smartphone;4;4670,44;2397,18;18681,76;9093,04
2023-01-31;Sul;Daniela;Felipe;5004;Monitor;6;1408,03;718,26;8448,18;4138,62
2023-06-30;Sudeste;Carlos;Felipe;7002;Smartphone;4;2594,37;1427,91;10377,48;4665,84
2024-02-29;Sudeste;Fernanda;Ciro;5004;Monitor;3;981,25;767,2;2943,75;642,15
2024-03-31;Nordeste;Bruno;Felipe;5004;Monitor;8;2506,3;1869,41;20050,4;5095,12
2023-05-31;Centro-Oeste;Carlos;Manoela;1005;Headset;8;3142,24;1885,03;25137,92;10057,68
2022-03-31;Centro-Oeste;Fernanda;Antonia;7002;Smartphone;7;4997,19;3858,3;34980,33;7972,23
2023-10-31;Centro-Oeste;Fernanda;Manoela;9001;Notebook;3;2375,17;1290,64;7125,51;3253,59
2022-09-30;Centro-Oeste;Ana;João;9001;Notebook;7;4727,61;2620,47;33093,27;14749,98
2024-09-30;Centro-Oeste;Fernanda;Manoela;5004;Monitor;6;1409,34;857,79;8456,04;3309,3
2022-09-30;Sul;Fernanda;Felipe;2006;WebCam 4k;4;3913,18;3056,56;15652,72;3426,48
2022-12-31;Centro-Oeste;Fernanda;Antonia;2006;WebCam 4k;4;624,81;349,37;2499,24;1101,76
2024-07-31;Centro-Oeste;Daniela;Antonia;1005;Headset;3;3572,61;1788,93;10717,83;5351,04
2025-03-31;Nordeste;Carlos;Felipe;1005;Headset;7;4308,51;3017,09;30159,57;9039,94
2024-08-31;Nordeste;Fernanda;Antonia;2006;WebCam 4k;7;3985,84;2773,07;27900,88;8489,39
2022-09-30;Centro-Oeste;Bruno;Antonia;2006;WebCam 4k;7;1958,98;1477,39;13712,86;3371,13
2023-12-31;Centro-Oeste;Bruno;Ciro;7002;Smartphone;1;4170,27;2208,16;4170,27;1962,11
2024-05-31;Centro-Oeste;Carlos;Felipe;9001;Notebook;1;3535,57;1828,61;3535,57;1706,96
2025-08-31;Centro-Oeste;Bruno;Felipe;9001;Notebook;5;2421,74;1707,63;12108,7;3570,55
2022-11-30;Sudeste;Daniela;Manoela;7002;Smartphone;3;1203,55;731,89;3610,65;1414,98
2023-10-31;Centro-Oeste;Bruno;Marisa;1005;Headset;5;1698,0;1249,73;8490,0;2241,35
2023-07-31;Sudeste;Fernanda;Felipe;9001;Notebook;6;661,85;401,9;3971,1;1559,7
2023-01-31;Sudeste;Eduardo;Antonia;1005;Headset;8;616,85;368,3;4934,8;1988,4
2022-03-31;Norte;Carlos;Antonia;1005;Headset;2;3024,0;2412,35;6048,0;1223,3
2025-08-31;Norte;Ana;Marisa;7002;Smartphone;1;4419,39;2922,49;4419,39;1496,9
2022-04-30;Sul;Bruno;Manoela;5004;Monitor;3;4340,05;3155,96;13020,15;3552,27
2024-11-30;Sul;Daniela;Marisa;2006;WebCam 4k;1;3880,64;3055,1;3880,64;825,54
2023-08-31;Norte;Bruno;Felipe;7002;Smartphone;2;505,22;396,07;1010,44;218,3
2025-05-31;Norte;Daniela;Ciro;1005;Headset;6;4514,5;2397,72;27087,0;12700,68
2024-11-30;Centro-Oeste;Bruno;Manoela;7002;Smartphone;1;1760,92;1073,29;1760,92;687,63
2023-12-31;Norte;Ana;Manoela;5004;Monitor;5;3994,18;3118,49;19970,9;4378,45
2024-01-31;Nordeste;Daniela;João;3003;Placa de Vídeo NVidia;6;3561,32;1886,88;21367,92;10046,64
2025-03-31;Nordeste;Eduardo;João;2006;WebCam 4k;7;3427,88;2321,19;23995,16;7746,83
2023-10-31;Sudeste;Eduardo;João;9001;Notebook;4;3535,78;2810,16;14143,12;2902,48
2023-12-31;Sudeste;Ana;João;2006;WebCam 4k;8;3810,72;2959,58;30485,76;6809,12
2022-07-31;Sudeste;Carlos;Ciro;5004;Monitor;7;3671,4;2361,54;25699,8;9169,02
2023-09-30;Norte;Carlos;Ciro;1005;Headset;7;4669,27;2526,24;32684,89;15001,21
2023-04-30;Sudeste;Carlos;Felipe;1005;Headset;3;3472,58;2724,2;10417,74;2245,14
2025-03-31;Sul;Eduardo;Marisa;5004;Monitor;2;518,34;344,22;1036,68;348,24
2024-11-30;Nordeste;Eduardo;Manoela;1005;Headset;3;1789,02;907,99;5367,06;2643,09
2022-11-30;Centro-Oeste;Eduardo;Marisa;1005;Headset;9;4032,6;2331,31;36293,4;15311,61
2023-02-28;Nordeste;Eduardo;João;7002;Smartphone;6;4959,56;3087,99;29757,36;11229,42
2025-02-28;Sul;Daniela;Manoela;7002;Smartphone;5;3192,62;2218,27;15963,1;4871,75
2022-12-31;Sudeste;Daniela;João;1005;Headset;4;3993,36;2874,51;15973,44;4475,4
2024-10-31;Sul;Ana;Marisa;1005;Headset;6;2469,35;1616,41;14816,1;5117,64
2024-02-29;Sul;Daniela;João;1005;Headset;7;1420,89;942,34;9946,23;3349,85
2025-04-30;Nordeste;Ana;Marisa;9001;Notebook;7;1722,81;891,61;12059,67;5818,4
2025-07-31;Sul;Fernanda;João;7002;Smartphone;2;2773,21;1416,14;5546,42;2714,14
2022-07-31;Nordeste;Carlos;Ciro;5004;Monitor;3;2447,0;1380,29;7341,0;3200,13
2023-01-31;Nordeste;Eduardo;Ciro;1005;Headset;3;4667,53;3111,28;14002,59;4668,75
2025-09-30;Sul;Carlos;Marisa;3003;Placa de Vídeo NVidia;8;553,92;411,06;4431,36;1142,88
2024-04-30;Nordeste;Ana;João;7002;Smartphone;4;830,45;578,68;3321,8;1007,08
2023-04-30;Sudeste;Fernanda;João;1005;Headset;1;3291,14;2584,34;3291,14;706,8
2022-03-31;Sul;Daniela;Marisa;2006;WebCam 4k;8;662,08;446,01;5296,64;1728,56
2025-07-31;Centro-Oeste;Ana;Manoela;1005;Headset;2;2638,87;1326,7;5277,74;2624,34
2024-11-30;Norte;Bruno;Manoela;9001;Notebook;4;3185,8;2187,97;12743,2;3991,32
2025-05-31;Centro-Oeste;Fernanda;Manoela;2006;WebCam 4k;2;3802,94;2596,61;7605,88;2412,66
2025-01-31;Sudeste;Bruno;Ciro;3003;Placa de Vídeo NVidia;4;1653,27;1164,67;6613,08;1954,4
2023-06-30;Norte;Ana;Antonia;1005;Headset;7;2527,53;1382,1;17692,71;8018,01
2023-11-30;Centro-Oeste;Bruno;Manoela;3003;Placa de Vídeo NVidia;1;2595,54;1908,04;2595,54;687,5
2023-05-31;Nordeste;Bruno;Marisa;2006;WebCam 4k;6;1220,78;889,77;7324,68;1986,06
2025-09-30;Norte;Daniela;João;9001;Notebook;6;3280,32;2177,16;19681,92;6618,96
2023-01-31;Nordeste;Daniela;João;1005;Headset;4;4960,5;2589,8;19842,0;9482,8
2024-03-31;Sul;Eduardo;Manoela;9001;Notebook;2;1410,42;806,33;2820,84;1208,18
2022-08-31;Norte;Bruno;Antonia;5004;Monitor;6;4093,56;2872,44;24561,36;7326,72
2023-10-31;Sudeste;Eduardo;João;9001;Notebook;4;4574,94;2319,75;18299,76;9020,76
2023-05-31;Sudeste;Ana;Antonia;1005;Headset;9;3770,4;2008,93;33933,6;15853,23
2022-09-30;Sudeste;Ana;João;9001;Notebook;1;882,03;521,74;882,03;360,29
2022-06-30;Centro-Oeste;Fernanda;Felipe;2006;WebCam 4k;7;1979,97;1032,25;13859,79;6634,04
2023-11-30;Centro-Oeste;Bruno;João;7002;Smartphone;2;1409,97;908,97;2819,94;1002,0
2023-12-31;Norte;Eduardo;Felipe;2006;WebCam 4k;9;2499,0;1742,01;22491,0;6812,91
2022-04-30;Centro-Oeste;Carlos;Antonia;1005;Headset;4;3831,42;2788,33;15325,68;4172,36
2023-04-30;Norte;Fernanda;Felipe;5004;Monitor;9;2381,66;1565,28;21434,94;7347,42
2023-02-28;Norte;Daniela;Marisa;9001;Notebook;7;2749,61;2163,66;19247,27;4101,65
2023-01-31;Sudeste;Carlos;João;5004;Monitor;1;3312,85;1930,5;3312,85;1382,35
2025-06-30;Nordeste;Bruno;Manoela;9001;Notebook;8;3891,45;2489,01;31131,6;11219,52
2023-08-31;Centro-Oeste;Ana;Manoela;5004;Monitor;6;3346,61;2058,42;20079,66;7729,14
2024-09-30;Sudeste;Bruno;Antonia;7002;Smartphone;9;3368,86;2104,13;30319,74;11382,57
2022-02-28;Sul;Ana;Marisa;3003;Placa de Vídeo NVidia;1;2240,32;1327,48;2240,32;912,84
2023-08-31;Centro-Oeste;Carlos;Marisa;2006;WebCam 4k;3;4807,57;2443,87;14422,71;7091,1
2025-08-31;Nordeste;Daniela;Antonia;7002;Smartphone;3;1232,96;904,88;3698,88;984,24
2024-12-31;Centro-Oeste;Bruno;Felipe;3003;Placa de Vídeo NVidia;9;4141,86;2814,16;37276,74;11949,3
2025-02-28;Sudeste;Daniela;Manoela;5004;Monitor;4;3410,16;1819,9;13640,64;6361,04
2022-06-30;Centro-Oeste;Carlos;João;5004;Monitor;3;2182,6;1695,58;6547,8;1461,06
2025-10-31;Nordeste;Carlos;Ciro;2006;WebCam 4k;7;692,31;420,65;4846,17;1901,62
2022-09-30;Norte;Fernanda;João;9001;Notebook;9;4754,92;3201,16;42794,28;13983,84
2023-08-31;Sudeste;Ana;Antonia;2006;WebCam 4k;4;1603,36;904,36;6413,44;2796,0
2025-06-30;Sudeste;Carlos;Manoela;7002;Smartphone;8;4588,83;3660,82;36710,64;7424,08
2025-09-30;Norte;Bruno;Marisa;2006;WebCam 4k;8;4250,24;2555,68;34001,92;13556,48
2024-03-31;Nordeste;Fernanda;Manoela;7002;Smartphone;6;4316,3;2460,19;25897,8;11136,66
2025-09-30;Centro-Oeste;Fernanda;Manoela;9001;Notebook;7;3574,67;2129,58;25022,69;10115,63
2025-08-31;Nordeste;Eduardo;João;1005;Headset;7;2250,55;1529,69;15753,85;5046,02
2024-12-31;Nordeste;Fernanda;Manoela;1005;Headset;5;628,33;319,78;3141,65;1542,75
2025-07-31;Sul;Fernanda;João;5004;Monitor;9;2156,6;1162,54;19409,4;8946,54
2024-12-31;Sudeste;Fernanda;Manoela;9001;Notebook;2;1664,33;837,91;3328,66;1652,84
2025-07-31;Centro-Oeste;Ana;Antonia;5004;Monitor;3;1495,81;766,56;4487,43;2187,75
2023-04-30;Centro-Oeste;Eduardo;Ciro;1005;Headset;1;1543,92;1212,41;1543,92;331,51
2022-11-30;Norte;Daniela;Marisa;9001;Notebook;4;4226,22;2257,92;16904,88;7873,2
2023-06-30;Sul;Bruno;Ciro;1005;Headset;7;3881,9;3002,66;27173,3;6154,68
2024-02-29;Sudeste;Daniela;Marisa;9001;Notebook;8;1057,88;545,32;8463,04;4100,48
2024-05-31;Sul;Ana;João;3003;Placa de Vídeo NVidia;3;1794,71;1059,28;5384,13;2206,29
2024-12-31;Norte;Ana;Marisa;5004;Monitor;2;1109,11;744,28;2218,22;729,66
2023-09-30;Sul;Bruno;João;7002;Smartphone;2;538,88;364,61;1077,76;348,54
2023-09-30;Nordeste;Carlos;Antonia;9001;Notebook;8;3027,8;1537,61;24222,4;11921,52
2023-02-28;Centro-Oeste;Daniela;Felipe;3003;Placa de Vídeo NVidia;9;1449,16;1100,87;13042,44;3134,61
2024-01-31;Sudeste;Eduardo;Marisa;2006;WebCam 4k;8;3427,95;1960,96;27423,6;11735,92
2025-02-28;Nordeste;Carlos;João;9001;Notebook;1;563,74;372,17;563,74;191,57
2024-01-31;Centro-Oeste;Daniela;Felipe;5004;Monitor;7;1886,09;1261,79;13202,63;4370,1
2023-02-28;Sul;Fernanda;Ciro;2006;WebCam 4k;8;502,08;390,82;4016,64;890,08
2022-03-31;Norte;Bruno;Antonia;1005;Headset;7;2532,88;1629,66;17730,16;6322,54
2023-11-30;Sudeste;Ana;Marisa;2006;WebCam 4k;8;2421,12;1784,46;19368,96;5093,28
2024-10-31;Norte;Fernanda;Ciro;7002;Smartphone;1;3671,5;2074,82;3671,5;1596,68
2023-10-31;Centro-Oeste;Eduardo;Marisa;3003;Placa de Vídeo NVidia;4;2411,06;1559,08;9644,24;3407,92
2023-05-31;Sudeste;Eduardo;Marisa;1005;Headset;4;2149,66;1258,0;8598,64;3566,64
2024-03-31;Sudeste;Eduardo;Antonia;2006;WebCam 4k;2;3225,56;2238,16;6451,12;1974,8
2025-07-31;Sul;Carlos;Ciro;7002;Smartphone;4;2292,21;1781,32;9168,84;2043,56
2024-11-30;Nordeste;Fernanda;Antonia;1005;Headset;3;2539,06;1858,84;7617,18;2040,66
2024-03-31;Norte;Daniela;João;7002;Smartphone;5;1619,83;994,06;8099,15;3128,85
2024-11-30;Norte;Ana;Antonia;7002;Smartphone;1;2366,16;1552,55;2366,16;813,61
2024-08-31;Sul;Eduardo;Antonia;1005;Headset;4;4461,78;2797,0;17847,12;6659,12
2024-03-31;Nordeste;Carlos;João;5004;Monitor;7;1380,54;840,5;9663,78;3780,28
2025-07-31;Nordeste;Carlos;Felipe;3003;Placa de Vídeo NVidia;4;2611,94;1683,12;10447,76;3715,28
2022-09-30;Nordeste;Fernanda;Antonia;7002;Smartphone;3;936,68;576,25;2810,04;1081,29
2024-02-29;Norte;Ana;Felipe;1005;Headset;6;4756,92;3132,19;28541,52;9748,38
2023-01-31;Norte;Daniela;Manoela;3003;Placa de Vídeo NVidia;7;2384,51;1836,84;16691,57;3833,69
2025-05-31;Sul;Ana;João;7002;Smartphone;3;2348,67;1374,73;7046,01;2921,82
2023-01-31;Sudeste;Bruno;Manoela;5004;Monitor;2;3181,4;1999,92;6362,8;2362,96
2025-08-31;Nordeste;Carlos;Ciro;9001;Notebook;7;4579,8;2351,92;32058,6;15595,16
2022-01-31;Centro-Oeste;Carlos;Antonia;2006;WebCam 4k;8;1822,05;1201,29;14576,4;4966,08
2022-09-30;Centro-Oeste;Ana;Felipe;3003;Placa de Vídeo NVidia;5;1921,45;1485,65;9607,25;2179,0
2024-05-31;Sudeste;Daniela;João;7002;Smartphone;3;3502,57;2352,14;10507,71;3451,29
2022-10-31;Sul;Eduardo;Antonia;2006;WebCam 4k;7;1634,17;937,86;11439,19;4874,17
2022-03-31;Nordeste;Ana;Antonia;9001;Notebook;3;1537,72;1093,68;4613,16;1332,12
2022-02-28;Norte;Bruno;Felipe;2006;WebCam 4k;7;1437,79;1068,44;10064,53;2585,45
2025-05-31;Sudeste;Bruno;Manoela;1005;Headset;1;2514,0;1452,41;2514,0;1061,59
2022-10-31;Sul;Bruno;João;2006;WebCam 4k;8;1502,84;895,81;12022,72;4856,24
2023-04-30;Centro-Oeste;Eduardo;Manoela;3003;Placa de Vídeo NVidia;7;4849,56;2522,38;33946,92;16290,26
2025-06-30;Sudeste;Eduardo;Manoela;7002;Smartphone;3;2764,8;1695,95;8294,4;3206,55
2023-09-30;Nordeste;Ana;João;9001;Notebook;3;4118,16;2090,67;12354,48;6082,47
2024-06-30;Sul;Ana;Antonia;3003;Placa de Vídeo NVidia;1;3366,34;2665,08;3366,34;701,26
2023-04-30;Nordeste;Bruno;Marisa;3003;Placa de Vídeo NVidia;6;1466,64;948,33;8799,84;3109,86
2023-10-31;Norte;Eduardo;João;3003;Placa de Vídeo NVidia;8;1309,75;716,01;10478,0;4749,92
2023-01-31;Sudeste;Ana;Ciro;5004;Monitor;7;2196,27;1598,93;15373,89;4181,38
2023-02-28;Centro-Oeste;Bruno;Manoela;7002;Smartphone;1;4599,46;2926,55;4599,46;1672,91
2023-07-31;Centro-Oeste;Daniela;Marisa;7002;Smartphone;7;3959,47;2811,31;27716,29;8037,12
2024-06-30;Centro-Oeste;Carlos;Felipe;5004;Monitor;5;2642,34;1444,33;13211,7;5990,05
2022-07-31;Sul;Daniela;Manoela;7002;Smartphone;6;4478,96;2860,39;26873,76;9711,42
2022-02-28;Norte;Eduardo;João;1005;Headset;2;651,76;493,17;1303,52;317,18
2023-07-31;Sudeste;Daniela;Felipe;9001;Notebook;9;2477,42;1627,35;22296,78;7650,63
2025-06-30;Sul;Carlos;João;9001;Notebook;9;1585,01;1117,45;14265,09;4208,04
2022-04-30;Sul;Ana;Felipe;7002;Smartphone;4;3004,72;1884,52;12018,88;4480,8
2023-07-31;Nordeste;Fernanda;João;3003;Placa de Vídeo NVidia;2;1295,67;997,5;2591,34;596,34
2024-07-31;Norte;Eduardo;Ciro;7002;Smartphone;5;1088,99;602,46;5444,95;2432,65
2023-01-31;Sul;Fernanda;Antonia;7002;Smartphone;3;4170,47;2832,66;12511,41;4013,43
2023-03-31;Sudeste;Eduardo;Marisa;5004;Monitor;1;2953,24;1927,05;2953,24;1026,19
2023-12-31;Centro-Oeste;Carlos;Manoela;2006;WebCam 4k;7;1620,41;1217,35;11342,87;2821,42
2025-01-31;Sudeste;Daniela;Felipe;5004;Monitor;5;2251,16;1396,54;11255,8;4273,1
2023-09-30;Sul;Eduardo;Manoela;9001;Notebook;4;3430,24;2126,89;13720,96;5213,4
2023-11-30;Sul;Daniela;João;1005;Headset;8;4976,36;2579,76;39810,88;19172,8
2024-01-31;Centro-Oeste;Bruno;Manoela;7002;Smartphone;2;3699,61;2838,77;7399,22;1721,68
2025-10-31;Nordeste;Eduardo;Marisa;2006;WebCam 4k;4;3610,81;2867,91;14443,24;2971,6
2022-12-31;Centro-Oeste;Eduardo;Marisa;5004;Monitor;6;4955,02;3666,5;29730,12;7731,12
2024-06-30;Norte;Eduardo;Felipe;7002;Smartphone;8;3798,45;2147,1;30387,6;13210,8
2024-06-30;Centro-Oeste;Daniela;Felipe;1005;Headset;6;4214,44;2151,23;25286,64;12379,26
2025-09-30;Centro-Oeste;Carlos;Marisa;5004;Monitor;4;3353,09;2497,08;13412,36;3424,04
2024-12-31;Sudeste;Daniela;Antonia;5004;Monitor;1;937,92;604,78;937,92;333,14
2023-02-28;Sudeste;Carlos;João;3003;Placa de Vídeo NVidia;7;3577,79;2276,24;25044,53;9110,85
2022-01-31;Nordeste;Daniela;Felipe;5004;Monitor;2;2478,93;1615,93;4957,86;1726,0
2023-04-30;Norte;Ana;Marisa;5004;Monitor;7;4512,47;2584,55;31587,29;13495,44
2024-09-30;Nordeste;Bruno;Felipe;3003;Placa de Vídeo NVidia;7;2108,51;1158,8;14759,57;6647,97
2024-08-31;Centro-Oeste;Bruno;Manoela;1005;Headset;8;3656,49;2869,3;29251,92;6297,52
2025-07-31;Sul;Ana;Felipe;3003;Placa de Vídeo NVidia;4;704,47;472,93;2817,88;926,16
